Vivado Simulator 2018.2
Time resolution is 1 ps
Time | A      | B      | A*B (ref) | Result (HW) | Match?
--------------------------------------------------------
              380000 |  1823520729 | -1230756243 | -2244309521456661147     | -2244309521456661147
              385000 | -1153047946 |  1698384330 | -1958318563225086180     | -1958318563225086180
              390000 |  1528245686 |  1251176853 | 1912105628020306158     | 1912105628020306158
              395000 | -1559815610 |    41196292 | -64258619335718120     | -64258619335718120
              400000 |  2077385207 |   882378601 | 1833040252690755407     | 1833040252690755407
              405000 |  -630277452 |  1140952456 | -719116606820822112     | -719116606820822112
              410000 |   343726376 | -1768946643 | -608033618935755768     | -608033618935755768
              415000 |  -473616185 | -1755538386 | 831451392998377410     | 831451392998377410
              420000 | -2072517624 |   239158556 | -495660322240390944     | -495660322240390944
              425000 |   -22567171 |   345900841 | -7806003427890811     | -7806003427890811
              430000 | -1908961252 |  1127573382 | -2152493895024594264     | -2152493895024594264
              435000 |  -315356966 | -1632123331 | 514701461801973746     | 514701461801973746
              440000 |   860792678 | -1202338704 | -1034964352879209312     | -1034964352879209312
              445000 | -1175124877 |  1567726010 | -1842273834670950770     | -1842273834670950770
              450000 |   792376158 |  2101836282 | 1665444957876164556     | 1665444957876164556
              455000 |  1787692501 | -1926957542 | -3444807547578792542     | -3444807547578792542
              460000 |  -588250951 |   461857079 | -271687865947832129     | -271687865947832129
              465000 |  1260861334 |  1614356928 | 2035480229790221952     | 2035480229790221952
              470000 |   321232678 |  -616162634 | -197931573003353852     | -197931573003353852
              475000 |  1050248061 |  1851723740 | 1944769267442668140     | 1944769267442668140
              480000 |  1130452870 |  1006894968 | 1138247306364158160     | 1138247306364158160
              485000 |  1062902654 |  -309493541 | -328961506124757814     | -328961506124757814
              490000 |  -406604081 |  1022176121 | -415620982299349801     | -415620982299349801
              495000 |   -47651590 | -1329795487 | 63366869330374330     | 63366869330374330
              500000 |   194251031 |  -789219167 | -153306636874711177     | -153306636874711177
              505000 |  1131909510 | -1469868464 | -1663758092850692640     | -1663758092850692640
              510000 |  2056018421 | -1699444683 | -3494089573718505543     | -3494089573718505543
              515000 | -1801811415 |  1622242753 | -2922975510256425495     | -2922975510256425495
              520000 |  -488278843 |  -872303464 | 425927326146812152     | 425927326146812152
              525000 |   632453963 | -1181990285 | -747554439975749455     | -747554439975749455
              530000 |  -165484820 |  -984607094 | 162937527721313080     | 162937527721313080
              535000 |   660132174 |  -733249368 | -484041499381966032     | -484041499381966032
              540000 |  1419705769 |  -792032095 | -1124452534504656055     | -1124452534504656055
