Vivado Simulator 2018.2
Time resolution is 1 ps
Time | A      | B      | A*B (ref) | Result (HW) | Match?
--------------------------------------------------------
                5000 |   4 |   1 |      4     |      4
               10000 |   9 |   3 |     27     |     27
               15000 |  13 |  13 |    169     |    169
               20000 |   5 | -14 |    -70     |    -70
               25000 |   1 |  13 |     13     |     13
               30000 | -10 |  -3 |     30     |     30
               35000 |  13 |  12 |    156     |    156
               40000 |  -7 |   6 |    -42     |    -42
               45000 |   5 |  10 |     50     |     50
               50000 |   5 |  -9 |    -45     |    -45
               55000 | -14 |  15 |   -210     |   -210
               60000 | -14 |  14 |   -196     |   -196
               65000 |   8 |   5 |     40     |     40
               70000 |  -4 |  -3 |     12     |     12
               75000 |  13 |   5 |     65     |     65
               80000 |   3 |  10 |     30     |     30
               85000 |   0 |   0 |      0     |      0
